rank,Video,Video views,Likes,Dislikes,Category,published
95,Fedez - Prima di ogni cosa (Official Video),"4,833,788","202,477","7,131",Music,2018
96,"SEVDALIZA - ALIBI | Live From Vevo Studios ft. PABLLO VITTAR, YSEULT","5,368,532","223,418",,Music,2024
97,Luck Ra - ROBAME UN BESO (Official Video),"1,891,707","41,102",,Music,2024
98,AIELLO - ORA (Official Video - Sanremo 2021),"1,132,390","23,083",887,Music,2021
99,JADE - Angel Of My Dreams (Official Video),"5,396,154","214,969",,Music,2024
100,Sauti Sol - Lil Mama (Official Audio),"1,642,529","27,426",,Music,2022
101,Static & Ben El - Bella,"3,305,681","10,461",626,Music,2021
102,"Sabe que os mlk é drake, não é bigode não","1,415,045","18,770",,Music,2024
103,Destroy Lonely - if looks could kill (Official Music Video),"830,566","58,361",,Music,2023
104,偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物,"685,189","30,320",,Music,2024
105,Oxlade - KU LO SA (Official Video),"6,005,457","134,873",,Music,2022
106,Rauw Alejandro - Touching The Sky (Official Video),"3,139,901","109,406",,Music,2024
107,Ricchi E Poveri - Ma non tutta la vita (Official Video) | Sanremo 2024,"6,849,596","59,198",,Music,2024
108,Trueno - PULL UP! (Official Video),"1,434,999","86,484",,Music,2024
109,"Fasma, GG - Parlami (Official Video - Sanremo 2021)","757,718","25,704",243,Music,2021
110,"ILLENIUM, Jon Bellion - Good Things Fall Apart","10,358,663","169,009","3,138",,2019
111,Isadora Pompeo - Tetelestai (Ao Vivo) ft. Carol Tauber,"1,205,733","34,861",,Music,2024
112,ARIETE - MARE DI GUAI (Official Video - Sanremo 2023),"1,130,141","17,689",,Music,2023
113,Dennis Lloyd - Never Go Back (Official Video),"720,437","26,772",274,Music,2019
114,Insta Vs Reality 😲😍 #travel #unrealplaces #explore #nature,"73,165,517","2,967,591",,Travel & Events,2024
115,"Sir Nicholas Winton - BBC Programme ""That's Life"" aired in 1988","39,407,674","97,009",747,Education,2009
116,Bird learns how life works,"4,916,042","74,420",703,Gaming,2015
117,Kid at Minecon 2016 asks what we all wish we could answer,"1,669,272","23,510",502,People & Blogs,2016
118,Cazzu - Miedo,"2,761,300","289,010","7,719",Music,2020
119,"Gazo, Tiakola - CARTIER (Visualizer)","1,366,275","34,494",,Music,2023
120,UWAIE,"8,114,376","122,955",,Music,2024
121,Trueno - REAL GANGSTA LOVE (Official Video),"15,985,735","263,086",,Music,2024
122,Jim Carrey THE FUNNIEST video,"8,322,488","6,216","11,521",Comedy,2007
123,Fedez - PRIMA DI OGNI COSA (Teaser),"885,149","29,689","2,992",Music,2018
124,"Lil Nas X, Cardi B - Rodeo (Official Audio)","1,783,881","254,185","8,177",Music,2019
125,Conan Gray - The Story,"252,272","72,135",195,Music,2020
126,Doug Fernandez gives up,"2,002,491","19,461",185,People & Blogs,2017
127,Ysrael Barajas - GPI 2 (Video Oficial),"983,919","20,719",,Music,2024
128,"Gazo, Tiakola - NOTRE DAME (Visualizer)","1,551,825","27,064",,Music,2023
129,Traditional Malaysian blowpipe maker shows how he takes down his prey in the wild,"3,510,345","32,449",248,Film & Animation,2017
130,Aslay - Inauma (Official Music Video),"1,606,569","34,829",,Music,2023
131,We asked you... What do you Chooze ?,"1,018,713","2,413",12,Autos & Vehicles,2017
132,Drawing the pillar of life🥶🗿#trollface #trollfaceedit #troll,"133,062,446","3,173,002",,People & Blogs,2025
133,Gazo - 100K (Visualizer),"1,167,599","32,821",,Music,2023
134,ALFA - Vai! (Official Video - Sanremo 2024),"5,192,650","49,065",,Music,2024
135,Classy 101,"11,170,714","157,703",,Music,2023
136,Tenacious D - Explosivo,"2,754,518","10,186",204,Entertainment,2006
137,"ROSALÍA, J Balvin - Con Altura (Official Video) ft. El Guincho","2,209,874,850","9,768,545",,Music,2019
138,"J.P., NLE Choppa - Bad Bitty (Remix) [Official Music Video]","987,265","46,378",,Music,2024
139,Tyla Yaweh - I Think I Luv Her (Lyric Video) ft. YG,"2,124,429","19,110","1,256",Music,2019
140,PUN - BF (feat. URBOYTJ),"1,588,998","39,090",,Music,2024
141,Old man is having fun under metallica,"2,566,313","25,274",399,Entertainment,2017
142,DIE 4 YOU,"5,766,751","65,566",,Music,2023
143,Rocket Blast Off #messingaround #flying #fun #brothers #playing #hangtime,"156,690,686","1,868,300",,Sports,2024
144,너라는 별,"4,406,467","18,295",,Music,2024
145,Eladio Carrión - Cuevita (Live Session) | Vevo ctrl,"2,246,356","26,765",,Music,2023
146,Say My Name,"1,845,505","18,095",,Music,2023
147,ETA (RMX),"1,036,672","33,644",,Music,2024
148,Big Homiie G - Who Got It (Official Video) ft. Finesse2Tymes,"865,867","24,156",,Music,2022
149,"GloRilla, Cardi B - Tomorrow 2 (Official Music Video)","31,909,765","638,566",,Music,2022
150,"Asake, Travis Scott - Active (Official Video)","6,232,792","184,120",,Music,2024
151,Eden Muñoz - Traigo Saldo y Ganas de Rogar,"1,077,182","18,109",,Music,2024
152,DAY - Na Sua Mão,"311,930","35,208",325,Music,2019
153,Laf 2.0,"1,068,698","11,495",,Music,2024
154,So adorable! 💕 #cute #animal #rocks #baby,"105,921,315","1,482,485",,Entertainment,2025
155,Grandma Dottie's Prom Dress Surprise,"8,414,676","2,442",103,People & Blogs,2012
156,Фортеця Бахмут,"700,921","20,921",,Music,2023
157,Not a mechanical baby,"14,612,153","3,339",156,Entertainment,2011
158,Prohibidox,"7,149,556","109,633",,Music,2022
159,Mark Tuan - lonely (rock version) [Official Video],"250,551","47,398",,Music,2022
160,Shaboozey - A Bar Song (Tipsy) [Official Visualizer],"4,941,173","121,986",,Music,2024
161,Nikita Kering' - On Yah (Intro),"726,705","32,777",,Music,2022
162,Coma_Cose - L'ADDIO (Official Video - Sanremo 2023),"3,672,887","41,513",,Music,2023
163,Nanpa Básico - Cuando Vienes (Official Video),"686,747","24,507",,Music,2024
164,Doechii - DENIAL IS A RIVER (Official Video),"9,950,373","770,587",,Music,2025
165,Destroy Lonely - how u feel? (Official Music Video),"845,139","46,444",,Music,2023
166,‎Good Night Good Dream (좋은 밤 좋은 꿈),"1,776,477","9,118",,Music,2024
167,don't leave me (거짓말처럼),"1,787,169","13,937",,Music,2024
168,Bi Polar (SAYGI1),"885,313","12,792",,Music,2024
169,Im sorry?,"3,670,491","30,180",171,People & Blogs,2017
170,44 Magnum Las Vegas,"2,345,415","7,883",259,People & Blogs,2010
171,Parks and Rec Come back joke,"2,482,309","20,964",224,Comedy,2012
172,ECKO - ICE (Official Video),"2,229,501","149,653","10,701",Music,2018
173,Marshmello x Jonas Brothers - Leave Before You Love Me (Official Music Video),"344,124","62,256",559,Music,2021
174,David Beckham crazy pass (cross),"17,275,250","32,362",752,Sports,2008
175,Можно я с тобой,"1,356,781","37,200",,Music,2024
176,No_se_ve.mp3,"3,085,869","45,677",,Music,2023
177,"Silverado 500,000 mile celebration","836,184","11,538",283,People & Blogs,2017
178,Morray - Can’t Use Me (Official Music Video),"345,086","26,022",289,Music,2021
179,FMK - Parte de Mi (Official Video) ft. Lit Killah,"303,497","71,457",517,Music,2019
180,Me And The Devil (SLOWED + ECO),"1,593,787","18,204",,Music,2025
181,"Begun, the Duck War has","3,586,169","51,443",300,Entertainment,2017
182,Meet Will,"3,121,597","40,432",313,Comedy,2018
183,Роман Курцын рассказывают всю правду о фильме «Крым»,"836,941","23,924","23,364",People & Blogs,2017
184,Helena - Summer Body (Clip Officiel),"921,210","43,854",,Music,2024
185,Maximus by Kerbedanz - the biggest known tourbillon for wristwatch,"1,263,651","10,376",126,People & Blogs,2017
186,girl in red - Too Much (Official Video),"268,038","31,023",,Music,2024
187,Artifact new game announcement from Valve crowd reaction,"1,301,165","17,084","1,900",Music,2017
188,Rels B - ORGULLO (Videoclip Oficial),"340,606","72,349",815,Music,2019
189,Brenda Lee - Rockin' Around The Christmas Tree (Official Music Video),"2,605,084","55,604",,Music,2023
190,Mephisto,"832,845","21,237",,Music,2023
191,¡Que Te Pasa!,"1,668,686","24,060",,Music,2024
192,Clumsy Dog,"3,432,791","24,140",254,Gaming,2017
193,A disabled duckling helps his cat friend 🐥 #DuckRescue #CuteAnimals #AnimalRescue,"114,441,704","3,749,872",,Entertainment,2024
194,tommy wiseau can't understand millennials,"3,320,857","28,326",198,Comedy,2017
195,"Tainy, J Balvin - Agua (Music From ""Sponge On The Run"" Movie/Official Lyrics)","1,936,929","186,235","6,564",Music,2020
196,Yo Vengo De La Nada,"592,930","13,705",,Music,2024
197,Tiryakinim,"6,332,540","64,248",,Music,2024
198,El Connecto,"3,583,270","41,735",485,People & Blogs,2018
199,ORIGAMI ALL'ALBA - CLARA,"2,030,824","26,233",,Music,2023
200,Fo fo fo fo fristajlo!,"2,894,700","6,108",152,Comedy,2007
201,"""Drake"" on the Tube...","2,683,856","7,414",457,Comedy,2012
202,Minimum ça,"680,629","11,809",,Music,2024
203,Flying nut high five,"7,852,043","62,744",748,People & Blogs,2014
204,Tems - Crazy Tings (Official Video),"2,496,817","91,980",979,Music,2021
205,"Raisa, Ahmad Dhani - Biar Menjadi Kenangan (Official Lyric Video)","1,891,769","33,390",,Music,2023
206,Tiryakinim,"8,170,818","45,890",,Music,2024
207,😂😂😂😂😂😂 I challenge you to a duel,"33,774,303","2,210,308",,Music,2024
208,Hitana,"1,614,632","9,651",,Music,2023
209,My dad flew into town to surprise his parents.,"888,893","8,190",113,People & Blogs,2016
210,DaBaby - ROCKSTAR (Live From The BET Awards/2020) ft. Roddy Ricch,"1,937,851","212,963","3,907",Music,2020
211,Best Heavyweight Knockouts of All Time,"5,250,458","5,891",509,Sports,2007
212,Sobran Motivos,"1,574,149","13,731",,Music,2024
213,Roblox Hack (NEW) - How to Get Free Robux - Robux Glitch (Get Free Items),"546,583","14,662",454,Gaming,2017
214,Kep1er 케플러 | 'I do! Do you?' M/V,"6,448,957","284,632",,Music,2023
215,"Beéle, Myke Towers, Feid - Barranquilla Bajo Cero (Official Video)","8,254,128","198,513",,Music,2022
216,Bıraktığın Gibi Burdayım,"1,291,926","10,366",,Music,2024
217,My Diablo 3 Inferno Tactic,"2,362,860","22,368",787,Gaming,2012
218,Wedding first dance w/ surprise Jack Johnson Michael Jackson,"16,485,606","15,813","1,360",Comedy,2007
219,"Chu,Tayousei.","739,527","17,094",,Music,2022
220,Starcraft 2 Gameplay footage and unit preview,"7,529,927","6,075",772,Entertainment,2007
221,Massimo Pericolo - Non Parlarmi (Outro) (Official Video),"586,388","33,599",,Music,2023
222,Isadora Pompeo - Aliança (Ao Vivo),"1,535,732","30,924",,Music,2024
223,Raisa - Bertahan / Pergi,"922,070","30,510",,Music,2022
224,WYA REMIX BLACK AND YELLOW (feat. iZaak & Pirlo),"4,281,153","119,578",,Music,2024
225,Dog reacts to return of Nathan after two year Mormon mission,"6,040,429","5,972",194,Pets & Animals,2015
226,"Dacă n-ai bani (feat. Beach, Please!)","1,015,509","9,689",,Music,2022
227,Aslay - Mozzah (Official Music Video),"513,530","21,071",,Music,2022
228,Jagwar Twin - Bad Feeling (Oompa Loompa) (Visualizer),"3,050,307","91,826",,Music,2023
229,14 de Febrero,"3,119,940","328,395",,Music,2023
230,Panchlait - Teaser 2 | Prem Modi | Funtime Entertainment,"885,706","5,835",217,Film & Animation,2017
231,Mila Kunis Tells Off A Reporter In Fluent Russian,"3,324,459","23,701",834,Entertainment,2012
232,When You play dodgeball with a Softball player. licensing@rumble.com,"2,134,991","12,128",299,Comedy,2017
233,Super platano brothers,"1,595,388","14,720",344,Comedy,2017
234,Amapola,"952,452","18,255",,Music,2024
235,Negramaro - Ricominciamo tutto (Sanremo 2024),"1,095,011","14,122",,Music,2024
236,Brother just sent me this,"622,782","8,883",348,Entertainment,2017
237,Chiara Oliver - 3 de febrero (video oficial),"505,626","35,212",,Music,2024
238,WII,"1,634,684","8,333",338,Entertainment,2006
239,These Little Moments 🥹🤍 #toddler #siblings #cute,"69,659,013","1,117,902",,Howto & Style,2024
240,Doechii - What It Is (Block Boy) feat. Kodak Black [Official Video],"3,851,533","106,085",,Music,2023
241,two fake umps.MOV,"1,338,441","3,712",135,Sports,2010
242,Roblox Hack - Robux Hacks - Roblox Secret Exploit (Android/without jailbreak),"414,973","29,256",341,Gaming,2017
243,The ABSOLUTE BEST Fabric Tile Design You Won't Believe,"57,223,159","1,014,976",,People & Blogs,2025
244,My Love,"583,139","10,498",,Music,2024
245,Trueno - PLO PLO! (Visualizer),"354,072","38,418",,Music,2024
246,Suzuki Hayabusa with Turbo Vmax 390kmh,"20,146,924","11,010","1,095",Autos & Vehicles,2006
247,pevecov popek poje na sexy back,"37,460,296","4,533","10,949",Comedy,2007
248,You can't even text and walk,"1,154,376","10,616",496,People & Blogs,2017
249,Anas feat. Soolking - Sur Pp (Clip officiel),"8,075,765","127,110",,Music,2023
250,Lil Tjay - Hold On (Official Audio),"316,785","42,854",211,Music,2019
251,How to surprise a horse,"1,625,194","7,357",352,Comedy,2016
252,Superman Disguise,"1,388,327","6,100",97,People & Blogs,2010
253,Player 456 And His Team Survive Another Game I Squid Game Edit I #shorts,"43,383,619","1,552,099",,Film & Animation,2025
254,J.I. - Everything [Official Music Video],"389,208","33,622",219,Music,2021
255,burp helium (so funny),"12,552,948","81,470","2,073",People & Blogs,2014
256,McDonald's drive thru,"726,293","9,536",207,People & Blogs,2016
257,Mulatto - Muwop (Official Video) ft. Gucci Mane,"1,048,126","64,451","2,519",Music,2020
258,Bryan Behr - De Todos Os Amores,"684,366","12,586",35,,2020
259,"Aczino, Gera MX - Orígenes Vivos (Video Oficial)","1,082,313","81,502",,Music,2023
260,İNTİHAR,"869,318","9,477",,Music,2024
261,camera shutter speed matches helicopter`s rotor,"3,682,223","53,493",581,People & Blogs,2017
262,Gavin Magnus - Hearts on a Pendant (Official Video),"1,170,069","80,768","2,719",Music,2020
263,Los Presidentes,"712,072","8,473",,Music,2024
264,Headie One - Princess Cuts (Official Video) ft. Young T & Bugsey,"429,900","29,311",225,Music,2020
265,三代目 J SOUL BROTHERS from EXILE TRIBE / Rat-tat-tat (Music Video),"1,538,191","57,477","1,246",People & Blogs,2020
266,고래 Dive Into You,"852,020","143,052",276,Music,2021
267,"Andy Rivera, Totoy El Frio - No Es la Misma (Video Oficial)","298,089","24,333",277,Music,2021
268,Bıraktığın Gibi Burdayım,"1,889,571","13,340",,Music,2024
269,VV - Neon Noir,"447,123","21,012",,Music,2023
270,"Ysrael Barajas, Miranda León - Ropa de Bazar (Letra/Lyrics)","303,440","16,638",,Music,2024
271,Silent Monks Singing Halleluia,"21,061,223","50,817","1,336",Comedy,2008
272,"Oxlade, Camila Cabello - KU LO SA (Official Video)","4,750,630","141,891",,Music,2022
273,Seen,"1,212,699","8,362",,Music,2023
274,EVLİ MUTLU CISTAK,"1,024,855","5,714",,Music,2024
275,Maradonna Gods Hand,"3,777,997","2,300",854,Sports,2007
276,ディア♡マイフレンド feat. ちゅーたん（CV：早見沙織）／HoneyWorks,"1,619,449","56,482",,Music,2023
277,"Kevin AMF, Omar Landell - Blair (Video Oficial)","2,762,811","51,542",,Music,2024
278,Eden Muñoz - NTP,"553,461","14,462",,Music,2024
279,0 Sharpness knife test?💀,"113,886,130","4,702,361",,People & Blogs,2024
280,Exchange gift with my girls 🫶🫂,"49,970,474","1,810,818",,People & Blogs,2025
281,Если мент....,"10,748,286","7,504","4,116",Music,2010
282,Guy orders bong. Package arrives and its an Xbox remote.,"1,486,888","20,547",933,People & Blogs,2018
283,Tu Boda 2,"1,501,104","41,056",,Music,2024
284,Naruto german opening,"2,082,329","27,628","1,967",Entertainment,2007
285,Real Boston Richey - Help Me (Official Music Video),"783,263","17,671",,Music,2024
286,Alkpote - Patek (Clip officiel) ft. Kalash Criminel,"271,206","16,776",322,Music,2019
287,The Big Fat Quiz Of The 90s   Mr Blobby,"951,835","7,347",121,People & Blogs,2014
288,Хоккей в фуре - вызов принят!,"1,556,347","2,726","1,433",Sports,2017
289,Ready? Ready.,"1,486,824","4,805",143,People & Blogs,2016
290,Dog meets baby kitten,"5,856,946","2,705",83,People & Blogs,2014
291,Party Boy Corey Worthington and his Famous Sunglasses,"896,419","7,060",152,News & Politics,2008
292,Lil Nas X - Panini (Official Audio),"699,364","162,807","4,419",Music,2019
293,"Ben&Ben - Dear | Official Lyric Video | Recorded Live in Firdaus Studio, Dubai","790,924","32,192",,Music,2022
294,HURTZ,"1,140,569","23,225",,Music,2023
295,Tengo Un Plan (Remix),"2,381,406","41,572",,Music,2024
296,Обиратиму себе,"637,180","18,265",,Music,2024
297,Garam Dan Madu,"1,051,681","18,600",,Music,2024
298,EDWIN SARKISSIAN BLOWS STUFF UP (REAL OR FAKE?COMMENT BELOW!)                #shorts #funny #comedy,"27,460,495","1,785,958",,Gaming,2024
299,"Olly, Angelina Mango, JVLI - Per due come noi (Official Video)","3,822,060","38,443",,Music,2024
300,İhtimallerde Yoksan,"2,028,211","10,812",,Music,2024
301,c`e solo l inter... a farci ridere,"2,136,208","3,379","1,966",Sports,2007
302,"Jeopardy ""Who Is The Spiciest Memelord"" ORIGINAL","1,434,589","25,484",432,People & Blogs,2017
303,Танк Армата,"3,954,302","4,636","1,033",,2015
304,"Pop Smoke - For The Night (Audio) ft. Lil Baby, DaBaby","2,031,584","129,397","1,329",Music,2020
305,"42 Dugg, Roddy Ricch - 4 Da Gang (Official Music Video)","466,902","31,895",658,Music,2021
306,Zooming in the 90s fixed,"3,490,548","59,814",296,People & Blogs,2018
307,German Shepherd scared of Stuffed Toy Tiger. Very Funny! (ORIGINAL VIDEO & VERSION)),"5,352,751","6,997",171,People & Blogs,2015
308,"This is a dollar, not a card","1,144,211","6,389",132,People & Blogs,2017
309,Ayra Starr - Rush,"17,367,547","272,550",,People & Blogs,2022
310,Селфхарм,"3,382,541","114,279",,Music,2024
311,Tyla Yaweh - Stuntin' On You (Official Music Video) ft. DaBaby,"2,284,537","86,991","1,164",Music,2020
312,Isadora Pompeo - Azeite (Ao Vivo),"741,351","18,469",,Music,2024
313,SHARK ATTACK - Don't touch the glass !!,"2,058,082","7,435","1,067",People & Blogs,2014
314,Orangutan loves baby bump,"5,989,058","4,282",282,Music,2016
315,Happy Birthday Cody,"734,558","7,194",191,Entertainment,2011
316,Arjan Vailly,"5,460,189","64,375",,Music,2023
317,Struggling with a new Phone,"1,451,235","16,223",634,Entertainment,2017
318,Darell - Lollipop (Official Video),"47,154,379","381,348",,Music,2023
319,A Needed Response,"11,622,727","39,804","1,872",,2013
320,Police take advantage of a Drunk Girl,"36,311,875","24,016","4,340",News & Politics,2008
321,Halle - In Your Hands (Official Video),"3,395,853","257,865",,Music,2024
322,Shopping at Walmart GONE WRONG,"21,204,579","2,190,931",,People & Blogs,2024
323,perfekte welle,"2,337,888","4,430",174,,2005
324,Вигадав,"540,094","10,695",,Music,2024
325,Geraldine Loves Star Wars,"4,291,444","86,656",984,Entertainment,2016
