YEAR,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
1960,25.39,20.85,27.27,28.03,23
1961,24.97,20.05,27.65,27.58,22.09
1962,25.05,19.85,27.36,27.83,22.5
1963,25.24,20.38,27.06,27.87,23.17
1964,25.23,20.17,27.9,27.61,22.78
1965,25.23,20.64,26.77,27.88,23.22
1966,25.52,21.23,27.66,27.91,23.04
1967,25.17,20.63,26.96,27.8,22.88
1968,25.09,19.67,27.1,27.95,22.88
1969,25.58,20.5,27.95,28,23.37
1970,25.23,20.61,27.76,27.65,22.54
1971,24.83,20.13,26.96,27.31,22.52
1972,25.22,19.61,27.29,28.07,23.09
1973,25.37,20.86,27.98,27.8,22.54
1974,25.08,19.69,27.62,27.79,22.52
1975,24.84,19.8,27.42,27.33,22.29
1976,25.11,19.8,27.04,27.59,23.44
1977,25.29,20.17,27.37,27.74,23.34
1978,25.13,19.66,27.33,27.58,23.3
1979,25.62,20.47,27.36,28.29,23.74
1980,25.6,20.82,28,27.92,23.31
1981,25.29,20.5,27.39,27.96,22.84
1982,25.25,20.41,26.81,28.07,23.18
1983,25.12,20.09,26.93,28.12,22.68
1984,25.22,19.94,27.86,27.65,22.87
1985,25.4,20.62,28.01,27.71,22.89
1986,25.23,20.26,27.35,27.82,22.96
1987,25.65,20.73,27.29,28.55,23.4
1988,25.55,21.15,27.72,27.92,23.13
1989,25.15,20.08,27.28,27.66,23.06
1990,25.26,20.87,26.9,27.78,23.2
1991,25.39,20.6,27.52,28.04,22.93
1992,25.25,20.1,27.21,27.98,23.08
1993,25.46,20.64,27.34,28.08,23.29
1994,25.39,20.8,27.6,27.84,22.98
1995,25.46,20.42,27.44,28.18,23.23
1996,25.42,20.77,27.67,27.91,22.94
1997,25.35,20.2,27.23,28.13,23.22
1998,25.72,20.83,27.82,28.31,23.43
1999,25.57,20.81,27.81,27.92,23.37
2000,25.53,20.53,27.63,27.85,23.65
2001,25.6,20.78,27.73,27.92,23.61
2002,25.74,20.74,28.02,28.17,23.57
2003,25.61,20.71,27.83,28.1,23.33
2004,25.65,20.76,28.1,28.02,23.3
2005,25.58,20.8,27.7,28.25,23.1
2006,25.72,21.39,27.69,28.02,23.59
2007,25.67,20.92,27.84,28.11,23.42
2008,25.55,20.26,27.7,27.85,23.85
2009,26.05,21.59,28.12,28.55,23.61
2010,26.03,21.09,28.89,28.2,23.58
2011,25.62,20.52,27.67,28.06,23.71
2012,25.6,20.36,27.82,28.26,23.33
2013,25.68,20.93,28.04,28.03,23.36
2014,25.73,20.53,27.62,28.57,23.54
2015,25.92,21.05,27.63,28.46,24.08
2016,26.2,21.8,28.64,28.35,23.84
2017,26.04,21.37,28.2,28.39,23.84
2018,25.9,21.24,28.16,28.28,23.55
2019,25.86,20.71,28,28.6,23.49
2020,25.78,20.79,27.58,28.45,23.75
2021,25.93,21.43,27.97,28.36,23.66
,,,,,
,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
